Student_Age,Sex,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Reading,Notes,Listening_in_Class,Project_work,Attendance Percentage,GPA
24,1,0,1,0,3,0,0,1,1,93,1.0
19,0,1,1,0,5,0,1,1,0,84,1.0
21,0,0,0,1,6,1,0,0,0,82,2.0
23,0,1,0,0,6,0,1,0,0,88,2.0
19,0,0,0,0,5,1,0,0,0,83,1.0
24,0,1,1,0,5,0,0,0,1,74,1.0
20,0,0,1,0,8,0,0,0,0,98,2.0
21,0,1,0,1,8,0,0,1,0,84,2.0
21,0,0,1,1,25,0,0,0,1,77,4.0
25,0,0,0,1,2,0,0,0,1,84,1.0
22,0,0,0,1,12,0,1,1,1,96,3.0
20,0,0,0,0,20,0,0,1,1,84,3.5
23,0,0,0,0,8,0,0,1,1,87,2.0
22,0,0,0,0,7,0,1,1,0,77,2.0
24,1,0,0,1,0,0,1,0,1,97,0.0
20,0,1,1,1,11,1,0,0,0,97,3.0
23,0,0,1,1,14,0,0,0,1,94,3.0
23,1,1,1,1,19,0,1,1,0,88,3.5
22,1,0,1,1,24,1,1,0,1,77,4.0
20,0,0,1,0,14,0,1,0,1,76,3.0
19,0,0,0,1,6,0,1,0,1,90,2.0
20,1,0,1,1,21,0,0,1,1,85,4.0
21,1,1,0,1,2,0,1,1,1,85,1.0
23,1,0,0,1,0,0,1,0,1,96,0.0
23,1,1,1,1,5,1,1,1,1,84,1.0
24,1,1,0,0,16,1,1,1,1,90,3.5
19,1,0,0,1,9,1,1,1,0,94,2.0
23,1,0,1,1,15,0,1,0,1,95,3.0
22,0,0,1,0,8,0,1,0,0,94,2.0
22,1,0,1,1,10,0,0,1,1,96,2.0
25,1,1,1,0,0,0,0,1,1,86,0.0
21,1,1,1,0,19,1,1,1,0,99,3.5
20,0,0,1,1,9,1,0,1,1,87,2.0
21,1,0,0,1,25,1,0,0,0,83,4.0
20,1,1,1,0,24,0,0,1,1,84,4.0
22,1,1,1,1,24,0,1,1,0,78,4.0
22,1,1,1,0,11,0,1,0,1,99,3.0
24,1,0,0,1,10,0,0,0,1,79,2.0
21,1,0,1,0,3,0,0,0,1,81,1.0
22,1,1,1,1,7,1,1,1,0,79,2.0
20,1,1,1,1,22,1,1,0,0,84,4.0
24,1,0,1,1,18,0,1,1,1,77,3.5
19,1,0,1,1,4,0,1,0,0,85,1.0
23,1,0,0,0,2,1,1,1,1,78,1.0
23,1,0,1,1,24,0,1,1,1,98,4.0
21,1,1,1,1,9,0,0,1,1,93,2.0
23,1,1,1,0,10,0,0,1,0,87,2.0
24,1,0,1,1,21,1,0,0,1,99,4.0
25,1,1,1,0,8,0,0,1,1,86,2.0
25,1,1,0,0,24,0,0,1,1,93,4.0
21,1,1,1,1,2,0,1,0,1,98,1.0
19,1,0,0,1,6,0,1,1,0,91,2.0
19,1,0,0,1,10,1,0,0,0,83,2.0
23,1,1,1,0,19,0,1,0,1,78,3.5
24,1,0,0,1,14,1,0,1,0,94,3.0
25,0,1,0,1,17,1,1,0,0,84,3.5
25,0,1,0,1,14,1,0,1,1,97,3.0
19,0,0,0,1,1,0,0,0,1,79,1.0
20,1,1,0,0,22,0,1,0,0,93,4.0
25,0,0,0,0,5,1,0,1,1,96,1.0
24,0,0,0,1,9,1,0,1,1,80,2.0
20,0,0,0,1,23,0,1,1,1,86,4.0
20,1,1,1,0,21,0,1,1,1,97,4.0
20,1,0,1,0,18,0,0,0,1,89,3.5
21,1,0,0,0,10,0,1,0,0,96,2.0
21,1,0,0,1,11,0,0,0,1,92,3.0
24,1,1,1,1,22,0,1,0,1,76,4.0
20,1,0,0,1,13,1,0,0,0,79,3.0
25,1,0,0,1,4,1,0,0,1,79,1.0
22,0,1,1,1,11,0,0,1,1,76,3.0
21,0,0,0,1,3,0,1,0,1,98,1.0
24,1,0,1,1,1,1,0,0,0,74,1.0
22,0,0,0,1,1,1,0,0,1,100,1.0
19,1,0,0,1,7,1,0,0,0,79,2.0
24,0,0,0,0,9,0,0,1,0,78,2.0
21,0,1,0,0,7,0,0,1,0,81,2.0
25,0,0,0,0,21,0,0,0,0,98,4.0
25,0,1,0,0,10,1,1,1,0,76,2.0
23,0,1,1,1,2,1,1,0,0,83,1.0
22,0,0,0,1,1,1,0,1,0,82,1.0
24,0,0,0,0,13,0,1,0,0,97,3.0
25,0,0,1,0,20,1,1,0,0,76,3.5
23,0,1,0,1,25,1,1,1,0,91,4.0
21,0,0,0,0,22,0,0,0,0,95,4.0
19,0,0,0,1,9,0,0,1,1,79,2.0
23,0,1,1,0,7,0,1,1,0,95,2.0
24,0,1,0,1,23,0,1,0,0,87,4.0
21,1,0,0,1,17,1,0,0,1,95,3.5
22,1,1,0,0,4,1,1,0,0,96,1.0
25,0,0,0,0,8,1,0,1,0,86,2.0
21,0,0,0,1,10,1,1,0,0,76,2.0
22,0,1,0,0,25,1,1,1,1,79,4.0
20,0,1,1,0,16,0,0,1,1,79,3.5
24,0,0,0,1,18,1,0,1,1,91,3.5
24,1,0,0,0,23,0,1,1,1,96,4.0
25,0,0,0,1,22,1,0,1,1,94,4.0
23,0,1,0,1,20,0,1,0,1,92,3.5
25,0,0,1,1,11,0,1,0,1,89,3.0
23,0,0,0,0,2,1,0,1,0,75,1.0
21,0,0,0,0,18,1,1,1,1,89,3.5
23,0,0,0,0,25,1,0,1,0,74,4.0
25,0,0,0,0,9,1,1,0,0,81,2.0
22,0,0,0,0,18,0,1,1,1,81,3.5
24,0,0,1,0,4,0,0,1,0,79,1.0
22,0,0,0,1,9,1,0,1,1,94,2.0
19,0,0,0,0,15,1,1,1,1,76,3.0
19,1,1,1,1,20,1,1,0,0,94,3.5
22,1,1,0,1,16,1,1,1,0,91,3.5
19,1,0,1,1,3,1,1,1,0,82,1.0
21,0,0,0,1,16,0,1,0,1,91,3.5
19,0,1,0,0,1,0,1,1,0,74,1.0
24,0,0,1,1,20,1,1,1,0,86,3.5
24,0,1,1,1,4,1,1,0,0,82,1.0
20,0,0,0,0,10,1,1,1,0,89,2.0
22,0,0,1,0,13,1,1,0,0,96,3.0
22,1,0,0,1,20,1,1,1,0,82,3.5
25,0,0,1,1,1,0,1,1,0,78,1.0
24,0,0,0,1,22,0,0,1,1,75,4.0
24,0,0,0,0,1,1,1,1,0,81,1.0
24,0,0,0,1,18,1,0,0,1,87,3.5
22,0,0,0,0,6,1,0,0,0,100,2.0
20,0,0,0,0,15,1,0,0,0,80,3.0
25,0,1,1,1,14,0,0,0,0,90,3.0
25,1,1,0,1,16,1,0,1,0,77,3.5
20,1,0,0,0,1,1,0,0,1,75,1.0
22,0,0,1,0,3,1,1,1,1,96,1.0
22,1,0,0,1,2,0,1,1,0,88,1.0
25,0,0,1,0,19,0,1,1,1,87,3.5
25,0,0,0,1,12,0,1,1,0,94,3.0
23,0,0,0,1,16,1,0,0,0,75,3.5
22,0,0,1,1,0,0,1,0,0,79,0.0
19,0,0,1,1,8,1,1,0,0,99,2.0
25,0,0,0,0,15,0,1,0,1,86,3.0
20,1,1,1,1,20,1,1,1,0,79,3.5
19,0,0,0,1,22,1,1,1,0,99,4.0
21,1,1,0,0,14,1,1,1,1,76,3.0
23,0,1,0,1,19,0,1,0,0,80,3.5
24,0,1,0,0,23,1,0,1,0,81,4.0
23,0,0,0,1,8,1,1,0,1,85,2.0
25,0,1,0,0,2,0,1,0,0,77,1.0
20,0,0,0,1,18,1,1,1,0,93,3.5
20,0,0,0,1,12,0,0,1,1,90,3.0
22,0,0,1,1,2,1,0,0,1,98,1.0
23,0,0,1,0,12,1,1,0,1,75,3.0
24,0,0,0,1,20,1,0,0,0,74,3.5
24,1,0,1,0,3,0,0,1,1,93,1.0
19,0,1,1,0,5,0,1,1,0,84,1.0
21,0,0,0,1,6,1,0,0,0,82,2.0
23,0,1,0,0,6,0,1,0,0,88,2.0
19,0,0,0,0,5,1,0,0,0,83,1.0
24,0,1,1,0,5,0,0,0,1,74,1.0
20,0,0,1,0,8,0,0,0,0,98,2.0
21,0,1,0,1,8,0,0,1,0,84,2.0
21,0,0,1,1,25,0,0,0,1,77,4.0
25,0,0,0,1,2,0,0,0,1,84,1.0
22,0,0,0,1,12,0,1,1,1,96,3.0
20,0,0,0,0,20,0,0,1,1,84,3.5
23,0,0,0,0,8,0,0,1,1,87,2.0
22,0,0,0,0,7,0,1,1,0,77,2.0
24,1,0,0,1,0,0,1,0,1,97,0.0
20,0,1,1,1,11,1,0,0,0,97,3.0
23,0,0,1,1,14,0,0,0,1,94,3.0
23,1,1,1,1,19,0,1,1,0,88,3.5
22,1,0,1,1,24,1,1,0,1,77,4.0
20,0,0,1,0,14,0,1,0,1,76,3.0
19,0,0,0,1,6,0,1,0,1,90,2.0
20,1,0,1,1,21,0,0,1,1,85,4.0
21,1,1,0,1,2,0,1,1,1,85,1.0
23,1,0,0,1,0,0,1,0,1,96,0.0
23,1,1,1,1,5,1,1,1,1,84,1.0
24,1,1,0,0,16,1,1,1,1,90,3.5
19,1,0,0,1,9,1,1,1,0,94,2.0
23,1,0,1,1,15,0,1,0,1,95,3.0
22,0,0,1,0,8,0,1,0,0,94,2.0
22,1,0,1,1,10,0,0,1,1,96,2.0
25,1,1,1,0,0,0,0,1,1,86,0.0
21,1,1,1,0,19,1,1,1,0,99,3.5
20,0,0,1,1,9,1,0,1,1,87,2.0
21,1,0,0,1,25,1,0,0,0,83,4.0
20,1,1,1,0,24,0,0,1,1,84,4.0
22,1,1,1,1,24,0,1,1,0,78,4.0
22,1,1,1,0,11,0,1,0,1,99,3.0
24,1,0,0,1,10,0,0,0,1,79,2.0
21,1,0,1,0,3,0,0,0,1,81,1.0
22,1,1,1,1,7,1,1,1,0,79,2.0
20,1,1,1,1,22,1,1,0,0,84,4.0
24,1,0,1,1,18,0,1,1,1,77,3.5
19,1,0,1,1,4,0,1,0,0,85,1.0
23,1,0,0,0,2,1,1,1,1,78,1.0
23,1,0,1,1,24,0,1,1,1,98,4.0
21,1,1,1,1,9,0,0,1,1,93,2.0
23,1,1,1,0,10,0,0,1,0,87,2.0
24,1,0,1,1,21,1,0,0,1,99,4.0
25,1,1,1,0,8,0,0,1,1,86,2.0
25,1,1,0,0,24,0,0,1,1,93,4.0
21,1,1,1,1,2,0,1,0,1,98,1.0
19,1,0,0,1,6,0,1,1,0,91,2.0
19,1,0,0,1,10,1,0,0,0,83,2.0
23,1,1,1,0,19,0,1,0,1,78,3.5
24,1,0,0,1,14,1,0,1,0,94,3.0
25,0,1,0,1,17,1,1,0,0,84,3.5
25,0,1,0,1,14,1,0,1,1,97,3.0
19,0,0,0,1,1,0,0,0,1,79,1.0
20,1,1,0,0,22,0,1,0,0,93,4.0
25,0,0,0,0,5,1,0,1,1,96,1.0
24,0,0,0,1,9,1,0,1,1,80,2.0
20,0,0,0,1,23,0,1,1,1,86,4.0
20,1,1,1,0,21,0,1,1,1,97,4.0
20,1,0,1,0,18,0,0,0,1,89,3.5
21,1,0,0,0,10,0,1,0,0,96,2.0
21,1,0,0,1,11,0,0,0,1,92,3.0
24,1,1,1,1,22,0,1,0,1,76,4.0
20,1,0,0,1,13,1,0,0,0,79,3.0
25,1,0,0,1,4,1,0,0,1,79,1.0
22,0,1,1,1,11,0,0,1,1,76,3.0
21,0,0,0,1,3,0,1,0,1,98,1.0
24,1,0,1,1,1,1,0,0,0,74,1.0
22,0,0,0,1,1,1,0,0,1,100,1.0
19,1,0,0,1,7,1,0,0,0,79,2.0
24,0,0,0,0,9,0,0,1,0,78,2.0
21,0,1,0,0,7,0,0,1,0,81,2.0
25,0,0,0,0,21,0,0,0,0,98,4.0
25,0,1,0,0,10,1,1,1,0,76,2.0
23,0,1,1,1,2,1,1,0,0,83,1.0
22,0,0,0,1,1,1,0,1,0,82,1.0
24,0,0,0,0,13,0,1,0,0,97,3.0
25,0,0,1,0,20,1,1,0,0,76,3.5
23,0,1,0,1,25,1,1,1,0,91,4.0
21,0,0,0,0,22,0,0,0,0,95,4.0
19,0,0,0,1,9,0,0,1,1,79,2.0
23,0,1,1,0,7,0,1,1,0,95,2.0
24,0,1,0,1,23,0,1,0,0,87,4.0
21,1,0,0,1,17,1,0,0,1,95,3.5
22,1,1,0,0,4,1,1,0,0,96,1.0
25,0,0,0,0,8,1,0,1,0,86,2.0
21,0,0,0,1,10,1,1,0,0,76,2.0
22,0,1,0,0,25,1,1,1,1,79,4.0
20,0,1,1,0,16,0,0,1,1,79,3.5
24,0,0,0,1,18,1,0,1,1,91,3.5
24,1,0,0,0,23,0,1,1,1,96,4.0
25,0,0,0,1,22,1,0,1,1,94,4.0
23,0,1,0,1,20,0,1,0,1,92,3.5
25,0,0,1,1,11,0,1,0,1,89,3.0
23,0,0,0,0,2,1,0,1,0,75,1.0
21,0,0,0,0,18,1,1,1,1,89,3.5
23,0,0,0,0,25,1,0,1,0,74,4.0
25,0,0,0,0,9,1,1,0,0,81,2.0
22,0,0,0,0,18,0,1,1,1,81,3.5
24,0,0,1,0,4,0,0,1,0,79,1.0
22,0,0,0,1,9,1,0,1,1,94,2.0
19,0,0,0,0,15,1,1,1,1,76,3.0
19,1,1,1,1,20,1,1,0,0,94,3.5
22,1,1,0,1,16,1,1,1,0,91,3.5
19,1,0,1,1,3,1,1,1,0,82,1.0
21,0,0,0,1,16,0,1,0,1,91,3.5
19,0,1,0,0,1,0,1,1,0,74,1.0
24,0,0,1,1,20,1,1,1,0,86,3.5
24,0,1,1,1,4,1,1,0,0,82,1.0
20,0,0,0,0,10,1,1,1,0,89,2.0
22,0,0,1,0,13,1,1,0,0,96,3.0
22,1,0,0,1,20,1,1,1,0,82,3.5
25,0,0,1,1,1,0,1,1,0,78,1.0
24,0,0,0,1,22,0,0,1,1,75,4.0
24,0,0,0,0,1,1,1,1,0,81,1.0
24,0,0,0,1,18,1,0,0,1,87,3.5
22,0,0,0,0,6,1,0,0,0,100,2.0
20,0,0,0,0,15,1,0,0,0,80,3.0
25,0,1,1,1,14,0,0,0,0,90,3.0
25,1,1,0,1,16,1,0,1,0,77,3.5
20,1,0,0,0,1,1,0,0,1,75,1.0
22,0,0,1,0,3,1,1,1,1,96,1.0
22,1,0,0,1,2,0,1,1,0,88,1.0
25,0,0,1,0,19,0,1,1,1,87,3.5
25,0,0,0,1,12,0,1,1,0,94,3.0
23,0,0,0,1,16,1,0,0,0,75,3.5
22,0,0,1,1,0,0,1,0,0,79,0.0
19,0,0,1,1,8,1,1,0,0,99,2.0
25,0,0,0,0,15,0,1,0,1,86,3.0
20,1,1,1,1,20,1,1,1,0,79,3.5
19,0,0,0,1,22,1,1,1,0,99,4.0
21,1,1,0,0,14,1,1,1,1,76,3.0
23,0,1,0,1,19,0,1,0,0,80,3.5
24,0,1,0,0,23,1,0,1,0,81,4.0
23,0,0,0,1,8,1,1,0,1,85,2.0
25,0,1,0,0,2,0,1,0,0,77,1.0
20,0,0,0,1,18,1,1,1,0,93,3.5
20,0,0,0,1,12,0,0,1,1,90,3.0
22,0,0,1,1,2,1,0,0,1,98,1.0
23,0,0,1,0,12,1,1,0,1,75,3.0
24,0,0,0,1,20,1,0,0,0,74,3.5
24,1,0,1,0,3,0,0,1,1,93,1.0
19,0,1,1,0,5,0,1,1,0,84,1.0
21,0,0,0,1,6,1,0,0,0,82,2.0
23,0,1,0,0,6,0,1,0,0,88,2.0
19,0,0,0,0,5,1,0,0,0,83,1.0
24,0,1,1,0,5,0,0,0,1,74,1.0
20,0,0,1,0,8,0,0,0,0,98,2.0
21,0,1,0,1,8,0,0,1,0,84,2.0
21,0,0,1,1,25,0,0,0,1,77,4.0
25,0,0,0,1,2,0,0,0,1,84,1.0
22,0,0,0,1,12,0,1,1,1,96,3.0
20,0,0,0,0,20,0,0,1,1,84,3.5
23,0,0,0,0,8,0,0,1,1,87,2.0
22,0,0,0,0,7,0,1,1,0,77,2.0
24,1,0,0,1,0,0,1,0,1,97,0.0
20,0,1,1,1,11,1,0,0,0,97,3.0
23,0,0,1,1,14,0,0,0,1,94,3.0
23,1,1,1,1,19,0,1,1,0,88,3.5
22,1,0,1,1,24,1,1,0,1,77,4.0
20,0,0,1,0,14,0,1,0,1,76,3.0
19,0,0,0,1,6,0,1,0,1,90,2.0
20,1,0,1,1,21,0,0,1,1,85,4.0
21,1,1,0,1,2,0,1,1,1,85,1.0
23,1,0,0,1,0,0,1,0,1,96,0.0
23,1,1,1,1,5,1,1,1,1,84,1.0
24,1,1,0,0,16,1,1,1,1,90,3.5
19,1,0,0,1,9,1,1,1,0,94,2.0
23,1,0,1,1,15,0,1,0,1,95,3.0
22,0,0,1,0,8,0,1,0,0,94,2.0
22,1,0,1,1,10,0,0,1,1,96,2.0
25,1,1,1,0,0,0,0,1,1,86,0.0
21,1,1,1,0,19,1,1,1,0,99,3.5
20,0,0,1,1,9,1,0,1,1,87,2.0
21,1,0,0,1,25,1,0,0,0,83,4.0
20,1,1,1,0,24,0,0,1,1,84,4.0
22,1,1,1,1,24,0,1,1,0,78,4.0
22,1,1,1,0,11,0,1,0,1,99,3.0
24,1,0,0,1,10,0,0,0,1,79,2.0
21,1,0,1,0,3,0,0,0,1,81,1.0
22,1,1,1,1,7,1,1,1,0,79,2.0
20,1,1,1,1,22,1,1,0,0,84,4.0
24,1,0,1,1,18,0,1,1,1,77,3.5
19,1,0,1,1,4,0,1,0,0,85,1.0
23,1,0,0,0,2,1,1,1,1,78,1.0
23,1,0,1,1,24,0,1,1,1,98,4.0
21,1,1,1,1,9,0,0,1,1,93,2.0
23,1,1,1,0,10,0,0,1,0,87,2.0
24,1,0,1,1,21,1,0,0,1,99,4.0
25,1,1,1,0,8,0,0,1,1,86,2.0
25,1,1,0,0,24,0,0,1,1,93,4.0
21,1,1,1,1,2,0,1,0,1,98,1.0
19,1,0,0,1,6,0,1,1,0,91,2.0
19,1,0,0,1,10,1,0,0,0,83,2.0
23,1,1,1,0,19,0,1,0,1,78,3.5
24,1,0,0,1,14,1,0,1,0,94,3.0
25,0,1,0,1,17,1,1,0,0,84,3.5
25,0,1,0,1,14,1,0,1,1,97,3.0
19,0,0,0,1,1,0,0,0,1,79,1.0
20,1,1,0,0,22,0,1,0,0,93,4.0
25,0,0,0,0,5,1,0,1,1,96,1.0
24,0,0,0,1,9,1,0,1,1,80,2.0
20,0,0,0,1,23,0,1,1,1,86,4.0
20,1,1,1,0,21,0,1,1,1,97,4.0
20,1,0,1,0,18,0,0,0,1,89,3.5
21,1,0,0,0,10,0,1,0,0,96,2.0
21,1,0,0,1,11,0,0,0,1,92,3.0
24,1,1,1,1,22,0,1,0,1,76,4.0
20,1,0,0,1,13,1,0,0,0,79,3.0
25,1,0,0,1,4,1,0,0,1,79,1.0
22,0,1,1,1,11,0,0,1,1,76,3.0
21,0,0,0,1,3,0,1,0,1,98,1.0
24,1,0,1,1,1,1,0,0,0,74,1.0
22,0,0,0,1,1,1,0,0,1,100,1.0
19,1,0,0,1,7,1,0,0,0,79,2.0
24,0,0,0,0,9,0,0,1,0,78,2.0
21,0,1,0,0,7,0,0,1,0,81,2.0
25,0,0,0,0,21,0,0,0,0,98,4.0
25,0,1,0,0,10,1,1,1,0,76,2.0
23,0,1,1,1,2,1,1,0,0,83,1.0
22,0,0,0,1,1,1,0,1,0,82,1.0
24,0,0,0,0,13,0,1,0,0,97,3.0
25,0,0,1,0,20,1,1,0,0,76,3.5
23,0,1,0,1,25,1,1,1,0,91,4.0
21,0,0,0,0,22,0,0,0,0,95,4.0
19,0,0,0,1,9,0,0,1,1,79,2.0
23,0,1,1,0,7,0,1,1,0,95,2.0
24,0,1,0,1,23,0,1,0,0,87,4.0
21,1,0,0,1,17,1,0,0,1,95,3.5
22,1,1,0,0,4,1,1,0,0,96,1.0
25,0,0,0,0,8,1,0,1,0,86,2.0
21,0,0,0,1,10,1,1,0,0,76,2.0
22,0,1,0,0,25,1,1,1,1,79,4.0
20,0,1,1,0,16,0,0,1,1,79,3.5
24,0,0,0,1,18,1,0,1,1,91,3.5
24,1,0,0,0,23,0,1,1,1,96,4.0
25,0,0,0,1,22,1,0,1,1,94,4.0
23,0,1,0,1,20,0,1,0,1,92,3.5
25,0,0,1,1,11,0,1,0,1,89,3.0
23,0,0,0,0,2,1,0,1,0,75,1.0
21,0,0,0,0,18,1,1,1,1,89,3.5
23,0,0,0,0,25,1,0,1,0,74,4.0
25,0,0,0,0,9,1,1,0,0,81,2.0
22,0,0,0,0,18,0,1,1,1,81,3.5
24,0,0,1,0,4,0,0,1,0,79,1.0
22,0,0,0,1,9,1,0,1,1,94,2.0
19,0,0,0,0,15,1,1,1,1,76,3.0
19,1,1,1,1,20,1,1,0,0,94,3.5
22,1,1,0,1,16,1,1,1,0,91,3.5
19,1,0,1,1,3,1,1,1,0,82,1.0
21,0,0,0,1,16,0,1,0,1,91,3.5
19,0,1,0,0,1,0,1,1,0,74,1.0
24,0,0,1,1,20,1,1,1,0,86,3.5
24,0,1,1,1,4,1,1,0,0,82,1.0
20,0,0,0,0,10,1,1,1,0,89,2.0
22,0,0,1,0,13,1,1,0,0,96,3.0
22,1,0,0,1,20,1,1,1,0,82,3.5
25,0,0,1,1,1,0,1,1,0,78,1.0
24,0,0,0,1,22,0,0,1,1,75,4.0
24,0,0,0,0,1,1,1,1,0,81,1.0
24,0,0,0,1,18,1,0,0,1,87,3.5
22,0,0,0,0,6,1,0,0,0,100,2.0
20,0,0,0,0,15,1,0,0,0,80,3.0
25,0,1,1,1,14,0,0,0,0,90,3.0
25,1,1,0,1,16,1,0,1,0,77,3.5
20,1,0,0,0,1,1,0,0,1,75,1.0
22,0,0,1,0,3,1,1,1,1,96,1.0
22,1,0,0,1,2,0,1,1,0,88,1.0
25,0,0,1,0,19,0,1,1,1,87,3.5
25,0,0,0,1,12,0,1,1,0,94,3.0
23,0,0,0,1,16,1,0,0,0,75,3.5
22,0,0,1,1,0,0,1,0,0,79,0.0
19,0,0,1,1,8,1,1,0,0,99,2.0
25,0,0,0,0,15,0,1,0,1,86,3.0
20,1,1,1,1,20,1,1,1,0,79,3.5
19,0,0,0,1,22,1,1,1,0,99,4.0
21,1,1,0,0,14,1,1,1,1,76,3.0
23,0,1,0,1,19,0,1,0,0,80,3.5
24,0,1,0,0,23,1,0,1,0,81,4.0
23,0,0,0,1,8,1,1,0,1,85,2.0
25,0,1,0,0,2,0,1,0,0,77,1.0
20,0,0,0,1,18,1,1,1,0,93,3.5
20,0,0,0,1,12,0,0,1,1,90,3.0
22,0,0,1,1,2,1,0,0,1,98,1.0
23,0,0,1,0,12,1,1,0,1,75,3.0
24,0,0,0,1,20,1,0,0,0,74,3.5
24,1,0,1,0,3,0,0,1,1,93,1.0
19,0,1,1,0,5,0,1,1,0,84,1.0
21,0,0,0,1,6,1,0,0,0,82,2.0
23,0,1,0,0,6,0,1,0,0,88,2.0
19,0,0,0,0,5,1,0,0,0,83,1.0
24,0,1,1,0,5,0,0,0,1,74,1.0
20,0,0,1,0,8,0,0,0,0,98,2.0
